region_code,year,indicator_code,indicator_name,value,unit,region_name,time_period_name,is_outlier,data_source,data_type
110000,2021,A030B,商品房平均销售价格,40526.0,元/平方米,北京,最近10年,True,房地产数据,住宅平均销售价格
110000,2021,A030B,商品房平均销售价格,40526.0,元/平方米,北京,最近20年,True,房地产数据,住宅平均销售价格
110000,2021,A030C,住宅商品房平均销售价格,46941.0,万平方米,北京,最近5年,True,房地产数据,房地产数据
110000,2021,A030C,住宅商品房平均销售价格,46941.0,万平方米,北京,最近10年,True,房地产数据,房地产数据
110000,2021,A030C,住宅商品房平均销售价格,46941.0,万平方米,北京,最近20年,True,房地产数据,房地产数据
110000,2021,A030D,房地产开发企业购置土地面积,230.6048,万平方米,北京,最近5年,False,房地产数据,房地产数据
110000,2021,A030D,房地产开发企业购置土地面积,230.6048,万平方米,北京,最近10年,False,房地产数据,房地产数据
110000,2021,A030D,房地产开发企业购置土地面积,230.6048,万平方米,北京,最近20年,False,房地产数据,房地产数据
110000,2021,A0801,普通本专科在校学生数,61.6978,万人,北京,最近5年,False,教育卫生文化数据,普通本专科在校学生数
110000,2021,A0801,普通本专科在校学生数,61.6978,万人,北京,最近10年,False,教育卫生文化数据,普通本专科在校学生数
110000,2021,A0801,普通本专科在校学生数,61.6978,万人,北京,最近20年,False,教育卫生文化数据,普通本专科在校学生数
110000,2021,A0802,医院数,644.0,人,北京,最近5年,False,教育卫生文化数据,卫生技术人员数
110000,2021,A0802,医院数,644.0,人,北京,最近10年,False,教育卫生文化数据,卫生技术人员数
110000,2021,A0802,医院数,644.0,人,北京,最近20年,False,教育卫生文化数据,卫生技术人员数
110000,2021,A0803,执业(助理)医师数,11.2514,万张,北京,最近5年,False,教育卫生文化数据,医院、卫生院床位数
110000,2021,A0803,执业(助理)医师数,11.2514,万张,北京,最近10年,False,教育卫生文化数据,医院、卫生院床位数
110000,2021,A0803,执业(助理)医师数,11.2514,万张,北京,最近20年,False,教育卫生文化数据,医院、卫生院床位数
110000,2021,A0A01,道路交通等效声级dB(A),69.0,dB(A),北京,最近5年,False,噪声数据,道路交通噪音
110000,2021,A0A01,道路交通等效声级dB(A),69.0,dB(A),北京,最近10年,False,噪声数据,道路交通噪音
110000,2021,A0A01,道路交通等效声级dB(A),69.0,dB(A),北京,最近20年,False,噪声数据,道路交通噪音
110000,2021,A0A02,环境噪声等效声级dB(A),53.7,dB(A),北京,最近5年,False,噪声数据,环境噪音
110000,2021,A0A02,环境噪声等效声级dB(A),53.7,dB(A),北京,最近10年,False,噪声数据,环境噪音
110000,2021,A0A02,环境噪声等效声级dB(A),53.7,dB(A),北京,最近20年,False,噪声数据,环境噪音
110000,2022,A0101,地区生产总值（当年价格）,45222.4,亿元,北京,最近5年,False,GDP数据,GDP数据
110000,2022,A0101,地区生产总值（当年价格）,45222.4,亿元,北京,最近10年,False,GDP数据,GDP数据
110000,2022,A0101,地区生产总值（当年价格）,45222.4,亿元,北京,最近20年,False,GDP数据,GDP数据
110000,2022,A0102,第一产业增加值,111.5,亿元,北京,最近5年,False,GDP数据,GDP数据
110000,2022,A0102,第一产业增加值,111.5,亿元,北京,最近10年,False,GDP数据,GDP数据
110000,2022,A0102,第一产业增加值,111.5,亿元,北京,最近20年,False,GDP数据,GDP数据
110000,2022,A0103,第二产业增加值,6960.4,亿元,北京,最近5年,False,GDP数据,GDP数据
110000,2022,A0103,第二产业增加值,6960.4,亿元,北京,最近10年,False,GDP数据,GDP数据
110000,2022,A0103,第二产业增加值,6960.4,亿元,北京,最近20年,False,GDP数据,GDP数据
110000,2022,A0104,第三产业增加值,38150.6,亿元,北京,最近5年,True,GDP数据,GDP数据
110000,2022,A0104,第三产业增加值,38150.6,亿元,北京,最近10年,True,GDP数据,GDP数据
110000,2022,A0104,第三产业增加值,38150.6,亿元,北京,最近20年,True,GDP数据,GDP数据
110000,2022,A0202,城镇非私营单位在岗职工平均工资,215143.0,元,北京,最近5年,True,人口就业数据,城镇非私营单位在岗职工平均工资
110000,2022,A0202,城镇非私营单位在岗职工平均工资,215143.0,元,北京,最近10年,True,人口就业数据,城镇非私营单位在岗职工平均工资
110000,2022,A0202,城镇非私营单位在岗职工平均工资,215143.0,元,北京,最近20年,True,人口就业数据,城镇非私营单位在岗职工平均工资
110000,2022,A0302,房地产开发投资额,4178.4569,万平方米,北京,最近5年,False,房地产数据,房屋施工面积
110000,2022,A0302,房地产开发投资额,4178.4569,万平方米,北京,最近10年,False,房地产数据,房屋施工面积
110000,2022,A0302,房地产开发投资额,4178.4569,万平方米,北京,最近20年,False,房地产数据,房屋施工面积
110000,2022,A0303,房地产开发住宅投资额,2667.3017,万平方米,北京,最近5年,False,房地产数据,房屋新开工面积
110000,2022,A0303,房地产开发住宅投资额,2667.3017,万平方米,北京,最近10年,False,房地产数据,房屋新开工面积
110000,2022,A0303,房地产开发住宅投资额,2667.3017,万平方米,北京,最近20年,False,房地产数据,房屋新开工面积
110000,2022,A0304,房地产开发办公楼投资额,224.5125,万平方米,北京,最近5年,False,房地产数据,房屋竣工面积
110000,2022,A0304,房地产开发办公楼投资额,224.5125,万平方米,北京,最近10年,False,房地产数据,房屋竣工面积
110000,2022,A0304,房地产开发办公楼投资额,224.5125,万平方米,北京,最近20年,False,房地产数据,房屋竣工面积
110000,2022,A0305,房地产开发商业营业用房投资额,237.2716,万平方米,北京,最近5年,False,房地产数据,住宅竣工面积
110000,2022,A0305,房地产开发商业营业用房投资额,237.2716,万平方米,北京,最近10年,False,房地产数据,住宅竣工面积
110000,2022,A0305,房地产开发商业营业用房投资额,237.2716,万平方米,北京,最近20年,False,房地产数据,住宅竣工面积
110000,2022,A0306,房地产开发企业施工房屋面积,13333.1466,万平方米,北京,最近5年,False,房地产数据,商品房销售面积
110000,2022,A0306,房地产开发企业施工房屋面积,13333.1466,万平方米,北京,最近10年,False,房地产数据,商品房销售面积
110000,2022,A0306,房地产开发企业施工房屋面积,13333.1466,万平方米,北京,最近20年,False,房地产数据,商品房销售面积
110000,2022,A0307,房地产开发企业竣工房屋面积,1938.4824,万平方米,北京,最近5年,False,房地产数据,住宅销售面积
110000,2022,A0307,房地产开发企业竣工房屋面积,1938.4824,万平方米,北京,最近10年,False,房地产数据,住宅销售面积
110000,2022,A0307,房地产开发企业竣工房屋面积,1938.4824,万平方米,北京,最近20年,False,房地产数据,住宅销售面积
110000,2022,A0308,房地产开发企业住宅竣工房屋面积,1096.2198,亿元,北京,最近5年,False,房地产数据,商品房销售额
110000,2022,A0308,房地产开发企业住宅竣工房屋面积,1096.2198,亿元,北京,最近10年,False,房地产数据,商品房销售额
110000,2022,A0308,房地产开发企业住宅竣工房屋面积,1096.2198,亿元,北京,最近20年,False,房地产数据,商品房销售额
110000,2022,A0309,商品房销售面积,1039.9814,亿元,北京,最近5年,False,房地产数据,住宅销售额
110000,2022,A0309,商品房销售面积,1039.9814,亿元,北京,最近10年,False,房地产数据,住宅销售额
110000,2022,A0309,商品房销售面积,1039.9814,亿元,北京,最近20年,False,房地产数据,住宅销售额
110000,2022,A030A,住宅商品房销售面积,741.9329,元/平方米,北京,最近5年,False,房地产数据,商品房平均销售价格
110000,2022,A030A,住宅商品房销售面积,741.9329,元/平方米,北京,最近10年,False,房地产数据,商品房平均销售价格
110000,2022,A030A,住宅商品房销售面积,741.9329,元/平方米,北京,最近20年,False,房地产数据,商品房平均销售价格
110000,2022,A030B,商品房平均销售价格,38240.0,元/平方米,北京,最近5年,True,房地产数据,住宅平均销售价格
110000,2022,A030B,商品房平均销售价格,38240.0,元/平方米,北京,最近10年,True,房地产数据,住宅平均销售价格
110000,2022,A030B,商品房平均销售价格,38240.0,元/平方米,北京,最近20年,True,房地产数据,住宅平均销售价格
110000,2022,A030C,住宅商品房平均销售价格,47784.0,万平方米,北京,最近5年,True,房地产数据,房地产数据
110000,2022,A030C,住宅商品房平均销售价格,47784.0,万平方米,北京,最近10年,True,房地产数据,房地产数据
110000,2022,A030C,住宅商品房平均销售价格,47784.0,万平方米,北京,最近20年,True,房地产数据,房地产数据
110000,2022,A030D,房地产开发企业购置土地面积,188.8221,万平方米,北京,最近5年,False,房地产数据,房地产数据
110000,2022,A030D,房地产开发企业购置土地面积,188.8221,万平方米,北京,最近10年,False,房地产数据,房地产数据
110000,2022,A030D,房地产开发企业购置土地面积,188.8221,万平方米,北京,最近20年,False,房地产数据,房地产数据
110000,2022,A0801,普通本专科在校学生数,62.659,万人,北京,最近5年,False,教育卫生文化数据,普通本专科在校学生数
110000,2022,A0801,普通本专科在校学生数,62.659,万人,北京,最近10年,False,教育卫生文化数据,普通本专科在校学生数
110000,2022,A0801,普通本专科在校学生数,62.659,万人,北京,最近20年,False,教育卫生文化数据,普通本专科在校学生数
110000,2022,A0802,医院数,662.0,人,北京,最近5年,False,教育卫生文化数据,卫生技术人员数
110000,2022,A0802,医院数,662.0,人,北京,最近10年,False,教育卫生文化数据,卫生技术人员数
110000,2022,A0802,医院数,662.0,人,北京,最近20年,False,教育卫生文化数据,卫生技术人员数
110000,2022,A0803,执业(助理)医师数,11.4792,万张,北京,最近5年,False,教育卫生文化数据,医院、卫生院床位数
110000,2022,A0803,执业(助理)医师数,11.4792,万张,北京,最近10年,False,教育卫生文化数据,医院、卫生院床位数
110000,2022,A0803,执业(助理)医师数,11.4792,万张,北京,最近20年,False,教育卫生文化数据,医院、卫生院床位数
110000,2022,A0A01,道路交通等效声级dB(A),68.7,dB(A),北京,最近5年,False,噪声数据,道路交通噪音
110000,2022,A0A01,道路交通等效声级dB(A),68.7,dB(A),北京,最近10年,False,噪声数据,道路交通噪音
110000,2022,A0A01,道路交通等效声级dB(A),68.7,dB(A),北京,最近20年,False,噪声数据,道路交通噪音
110000,2022,A0A02,环境噪声等效声级dB(A),52.8,dB(A),北京,最近5年,False,噪声数据,环境噪音
110000,2022,A0A02,环境噪声等效声级dB(A),52.8,dB(A),北京,最近10年,False,噪声数据,环境噪音
110000,2022,A0A02,环境噪声等效声级dB(A),52.8,dB(A),北京,最近20年,False,噪声数据,环境噪音
110000,2023,A0101,地区生产总值（当年价格）,47353.7,亿元,北京,最近5年,False,GDP数据,GDP数据
